,companyId,salary,skillLables
0,140014,15.0,['后端']
1,44091,15.0,[]
2,79252,11.5,"['J2EE', '软件开发', '后端']"
3,24748,22.5,"['Javascript', 'JS']"
4,6796,40.0,[]
5,109625,37.5,['后端']
6,250149,30.0,['后端']
7,49579,15.0,['Javascript']
8,67860,24.0,['Hadoop']
9,117019,32.5,['后端']
10,29303,22.5,[]
11,3328,40.0,[]
12,68001,19.0,"['J2EE', 'Linux/Unix', 'MySQL']"
13,459953,30.0,"['后端', '服务器端', '客户端', '平台']"
14,16831,17.0,['后端']
15,44091,27.0,[]
16,79252,20.0,['系统架构']
17,24748,22.5,['数据库']
18,109625,37.5,['后端']
19,459953,30.0,"['后端', '客户端', '平台']"
20,140014,30.0,"['后端', '分布式']"
21,20951,20.0,"['Linux/Unix', '云计算']"
22,132691,24.0,['后端']
23,39480,19.5,"['后端', 'J2EE']"
24,25063,12.5,"['Android', 'SDK']"
25,223237,22.5,"['后端', '服务器端', 'J2EE']"
26,8793,8.0,[]
27,956,16.0,['后端']
28,202762,18.0,[]
29,206498,12.0,['后端']
30,44091,20.0,"['后端', '分布式']"
31,24748,17.5,[]
32,171,12.0,"['后端', '服务器端', 'J2EE', 'MySQL']"
33,128535,12.0,"['后端', '平台']"
34,173318,14.0,['后端']
35,118198,16.5,"['后端', '分布式', '全栈']"
36,419772,11.5,[]
37,14563,25.0,['服务器端']
38,374014,11.5,[]
39,23875,20.0,"['后端', 'Linux/Unix']"
40,28708,10.5,['后端']
41,117104,7.0,[]
42,14319,13.5,"['MySQL', 'JS', 'Javascript']"
43,18787,15.0,"['后端', '分布式', 'J2EE']"
44,44091,22.5,['软件开发']
45,24748,21.5,[]
46,81114,22.5,"['J2EE', '后端']"
47,118663,12.5,['后端']
48,23727,12.5,['MySQL']
49,124007,14.5,['MySQL']
50,1187,20.0,['后端']
51,205716,18.0,"['后端', '分布式']"
52,205347,15.0,['后端']
53,148372,18.5,"['后端', 'Javascript', 'MySQL']"
54,383199,13.5,[]
55,156190,17.0,"['J2EE', 'Javascript', '后端']"
56,134795,11.5,['Linux/Unix']
57,190265,9.0,['后端']
58,140572,6.0,['Javascript']
59,54083,16.0,[]
60,173318,9.5,[]
61,60434,17.5,"['MySQL', 'Linux/Unix']"
62,211490,13.5,[]
63,142626,18.0,[]
64,160479,20.0,['后端']
65,139110,15.0,"['后端', '服务器端', 'J2EE', '分布式']"
66,115023,11.5,['后端']
67,24287,27.5,"['分布式', '中间件', '后端']"
68,41979,22.5,[]
69,534661,14.0,"['后端', '分布式']"
70,247717,17.5,[]
71,473950,30.0,['后端']
72,537334,17.5,[]
73,211490,17.0,"['后端', 'Javascript']"
74,24287,18.0,"['后端', 'J2EE']"
75,171704,20.5,['软件开发']
76,255742,22.5,"['后端', '分布式', 'MySQL']"
77,23686,20.0,"['后端', 'J2EE', 'Javascript']"
78,100713,13.5,"['J2EE', 'MySQL', '后端']"
79,117217,12.0,['J2EE']
80,59074,30.0,[]
81,48693,9.5,[]
82,394190,30.0,"['后端', '客户端', '区块链']"
83,65875,15.0,[]
84,45527,15.0,['J2EE']
85,39772,11.0,"['后端', '服务器端', 'J2EE']"
86,231698,20.0,[]
87,62477,20.0,"['后端', '分布式']"
88,252377,9.0,['软件开发']
89,282264,10.0,[]
90,296391,16.0,['后端']
91,18799,9.0,"['后端', '软件开发']"
92,110502,22.5,['后端']
93,23958,11.0,[]
94,45040,9.5,[]
95,301961,10.0,['分布式']
96,29682,12.5,"['后端', '分布式']"
97,386780,10.5,['MySQL']
98,297237,7.0,"['J2EE', 'Javascript', 'MySQL']"
99,96590,22.5,['后端']
100,207382,15.0,"['后端', 'MySQL']"
101,55446,40.0,['ERP']
102,5018,20.0,"['Linux/Unix', 'MySQL']"
103,482973,20.0,[]
104,17785,17.5,"['后端', 'J2EE']"
105,296391,15.0,"['docker', '数据库']"
106,459953,35.0,"['分布式', '架构师', '系统架构', '软件开发']"
107,137488,12.5,"['J2EE', '数据库']"
108,65875,50.0,['MySQL']
109,49363,55.0,['后端']
110,50241,16.0,['云计算']
111,271433,10.0,['后端']
112,2422,25.0,"['后端', 'Linux/Unix']"
113,322342,8.0,['后端']
114,22862,12.5,['Linux/Unix']
115,55446,37.5,"['J2EE', 'MySQL', '后端']"
116,137488,30.0,['Javascript']
117,104298,22.5,"['MySQL', '软件开发']"
118,62668,25.0,"['Linux/Unix', '后端', '分布式']"
119,536068,12.0,['后端']
120,429236,26.5,"['Javascript', '后端', 'J2EE']"
121,117019,35.0,[]
122,123777,15.5,"['Javascript', '数据库']"
123,150037,22.5,"['后端', '分布式']"
124,534591,17.5,['后端']
125,34315,22.5,[]
126,45493,4.0,"['后端', 'J2EE', 'Linux/Unix', 'Android']"
127,128998,15.5,[]
128,3522,22.5,['Android']
129,55446,37.5,[]
130,489687,9.0,"['前端开发', 'Javascript']"
131,26564,23.5,"['后端', '中间件', 'SOA', '服务器端']"
132,62538,12.0,"['后端', '算法']"
133,141544,11.5,"['J2EE', '后端', '服务器端', 'MySQL']"
134,117019,70.0,[]
135,538084,25.5,[]
136,91069,14.0,"['Linux/Unix', '后端', 'Javascript']"
137,62831,15.0,[]
138,253957,12.5,[]
139,265216,30.0,"['J2EE', 'MySQL']"
140,55142,10.5,['后端']
141,87967,9.0,['后端']
142,249675,10.5,"['后端', 'Javascript', '分布式', '区块链']"
143,142167,10.0,['J2EE']
144,175208,3.5,[]
145,408844,11.0,"['后端', 'Javascript', '图像处理', '软件开发']"
146,110960,28.0,"['分布式', '数据库', '搜索']"
147,65265,15.0,"['解决方案', '服务器端', 'Linux/Unix']"
148,33627,11.5,"['C', 'C++']"
149,445309,11.5,"['后端', '客户端', '服务器端']"
150,465627,9.5,['后端']
151,523090,8.5,['Wpf']
152,392289,11.5,['软件开发']
153,150423,12.5,"['客户端', '后端', 'J2EE', 'Linux/Unix']"
154,530884,18.0,"['后端', '中间件', 'Linux/Unix']"
155,101653,9.5,[]
156,38069,15.0,[]
157,221286,12.0,"['图像处理', '视频识别', '模式识别']"
158,538576,16.5,"['后端', 'MySQL', '数据库']"
159,394161,15.0,['后端']
160,364301,8.0,"['Shell', 'Linux/Unix', 'MySQL']"
161,156398,5.0,[]
162,7775,11.5,[]
163,506226,6.5,[]
164,126590,7.0,"['后端', 'J2EE']"
165,355504,11.5,['后端']
166,538733,12.5,[]
167,380925,37.5,['后端']
168,451958,20.0,[]
169,516843,45.0,"['后端', '中间件', 'Linux/Unix', '分布式']"
170,55446,40.0,"['后端', 'J2EE', '平台']"
171,328948,12.5,['后端']
172,122901,7.5,"['Javascript', '软件开发']"
173,383678,12.5,['后端']
174,87341,16.5,['分布式']
175,321561,15.0,"['后端', 'Linux/Unix', 'Javascript', '全栈']"
176,531027,7.5,"['移动端', '前端开发']"
